,p,mean,std,unvax_aerosol
0,0.7,0.05790767377823332,0.025232590074097457,0.002364836049956775
1,0.75,0.04844575222431171,0.023525683862358454,0.0021684603848983216
2,0.8,0.04296707969022765,0.02195879955790717,0.002053196407581404
3,0.85,0.03623985623446802,0.01968916144378022,0.0018610897787198738
4,0.9,0.029448991901713562,0.01645845763755518,0.001698866403236804
5,0.95,0.02201364282189956,0.012048327026616542,0.001438455195224508
6,1.0,0.014926361804966478,6.013680072263914e-05,0.001062780009895294
