,p,mean,std,unvax_aerosol
0,0.7,0.08724186554457589,0.050967991013600875,0.001572945495126227
1,0.75,0.06918463225789799,0.04806658574084719,0.0013797593583521708
2,0.8,0.06453595940584317,0.04410374398952238,0.0013797593583521708
3,0.85,0.051505171251688166,0.03876538533126978,0.0012275520990756416
4,0.9,0.042496497082605375,0.03196933437488365,0.0011455943440805876
5,0.95,0.03079612702469587,0.02510141685405066,0.0009436270192713467
6,1.0,0.017963723552488466,0.003302279065883419,0.0006831184408942106
