,p,mean,std,unvax_aerosol
0,0.7,0.15097555440110738,0.07398510812605504,0.0051513253142550786
1,0.75,0.13107052973719938,0.06881687500764117,0.004877895259673417
2,0.8,0.11525415164607089,0.0656779460777287,0.004557322092232846
3,0.85,0.09666910376599469,0.05824546404024468,0.004161319944218023
4,0.9,0.07753645278401108,0.04860299414565966,0.003793603663918547
5,0.95,0.054012520009599975,0.03308153314419446,0.0030110279904606843
6,1.0,0.037629653542888254,0.001679034146250775,0.0023981675232948893
