,p,mean,std,unvax_aerosol
0,0.7,0.025980736033207063,0.019070824715569163,4.1456160801854414e-05
1,0.75,0.023602016252826905,0.018124098240923744,4.0428281487096354e-05
2,0.8,0.020607226115953472,0.016697898757033074,3.743030015238534e-05
3,0.85,0.015776159823218998,0.01414841388501554,3.3490096112479425e-05
4,0.9,0.012724171788496691,0.011822219819651576,3.0063831729952546e-05
5,0.95,0.008866232791643409,0.008571009964692943,2.372524262227782e-05
6,1.0,0.005058024800384748,0.001769437611377623,1.7557966733729433e-05
