,p,mean,std,unvax_aerosol
0,0.7,0.007776903473894228,0.0053766011310076006,2.9191294172756516e-05
1,0.75,0.007005299538481492,0.005143462902148835,2.7140695895265818e-05
2,0.8,0.005682356289705804,0.004564297309384727,2.470214659230391e-05
3,0.85,0.004333156744621568,0.003850964112429112,2.1598538388534207e-05
4,0.9,0.003568434588178431,0.003393045057777309,1.91599890855723e-05
5,0.95,0.002379521864255876,0.0022275941289685167,1.555758670619675e-05
6,1.0,0.0014798631648251996,0.0004861342763909778,1.134554700108072e-05
