p,mean,std
0.0,0.06881767843012304,0.022124739997424182
0.1,0.06612660196873074,0.021063205247228885
0.2,0.05822328715364651,0.0211019515881565
0.30000000000000004,0.05215324905567856,0.020853009937151962
0.4,0.04430403622993359,0.020392556485326903
0.5,0.037570560920962746,0.018890285733232853
0.6000000000000001,0.030151846330266147,0.017109129238762667
0.7000000000000001,0.023726674482385874,0.01516661502553581
0.8,0.017747404864452806,0.012390597182163175
0.9,0.010941337669064374,0.008773585547111024
1.0,0.004333921408918677,0.0013810944986697707
