p,mean,std
0.0,0.028025584184276184,0.00948126627696504
0.1,0.026759450833702892,0.008847000253957776
0.2,0.02349428589487003,0.009110251762587835
0.30000000000000004,0.020992958856455704,0.009511573858796613
0.4,0.01911499307779579,0.009033415452309845
0.5,0.016788622773702442,0.008872463047775234
0.6000000000000001,0.013817676577626805,0.008486310611806151
0.7000000000000001,0.011087095333924603,0.0079354196133823
0.8,0.008071793264660801,0.006729831881783095
0.9,0.005112046183080329,0.0051452844372352115
1.0,0.0016271624857478312,0.0005302666101898739
