p,mean,std
0.0,0.021121433285285818,0.006915952769162677
0.1,0.018583339035303518,0.007229135692739764
0.2,0.01706573750902012,0.006732152046111201
0.30000000000000004,0.01488685197983117,0.006425033150601157
0.4,0.013035683606144531,0.006135671072497721
0.5,0.010930242419348903,0.005960937390929753
0.6000000000000001,0.009137215127672661,0.005329428294577589
0.7000000000000001,0.0068406266637774,0.004568813729881663
0.8,0.005152734676882303,0.0038680171608044696
0.9,0.003205669176983374,0.002751249336953477
1.0,0.001324249235143635,0.00042267354021376487
