p,mean,std
0.0,0.0002234621601969143,7.117826716595067e-05
0.1,0.00018756997153410336,6.677341564929262e-05
0.2,0.00015051419713231463,6.1012619321353e-05
0.30000000000000004,0.00012779640563373538,5.695079150239914e-05
0.4,9.953213360137116e-05,4.7388908432143014e-05
0.5,7.803491896327122e-05,4.199195315021394e-05
0.6000000000000001,5.209951687307702e-05,3.2082682521650995e-05
0.7000000000000001,3.698761961508072e-05,2.574164239032932e-05
0.8,2.0059013434565084e-05,1.7075415911196815e-05
0.9,9.387607250989856e-06,9.383190906127947e-06
1.0,1.907493367049546e-06,6.68791073995639e-07
