p,mean,std
0.0,0.05777821452277686,0.01634033474059225
0.1,0.05070593401023984,0.017708963119014955
0.2,0.04580223391159994,0.017366981274241577
0.30000000000000004,0.040111755547192575,0.016710175248720895
0.4,0.035020752972244946,0.015475065415148493
0.5,0.029634050024099644,0.014603840254486702
0.6000000000000001,0.02530400884470852,0.013505260232965189
0.7000000000000001,0.01984171531429935,0.012138569652361429
0.8,0.014100583672763114,0.009775689056857072
0.9,0.008694363321603329,0.00710971536525548
1.0,0.003559667332046133,0.0010460416046023365
