p,mean,std
0.0,0.00025938719826392256,8.291942964889696e-05
0.1,0.0002157283941662719,8.026680379136376e-05
0.2,0.0001724456367881964,7.151834753753936e-05
0.30000000000000004,0.00014178119871371435,5.955806277218774e-05
0.4,0.00010690952970137566,5.1255165689014656e-05
0.5,7.811786821284904e-05,4.2303004480540143e-05
0.6000000000000001,5.333384056865761e-05,3.324229269289815e-05
0.7000000000000001,3.601443544724063e-05,2.272885237748144e-05
0.8,2.0473349688068827e-05,1.4754621044587528e-05
0.9,8.377733149573467e-06,6.9704660815376166e-06
1.0,2.4514632275546535e-06,8.254668309007942e-07
