p,mean,std
0.0,0.022179698159014043,0.007552822248452822
0.1,0.021213706605685112,0.007065640975254557
0.2,0.018469749426576,0.007779758710064593
0.30000000000000004,0.016443972763082373,0.007414864367188104
0.4,0.014438554398329046,0.007274468604717911
0.5,0.0136288972477069,0.007008139234369162
0.6000000000000001,0.011331184276450261,0.0069430153955985785
0.7000000000000001,0.009027490353866774,0.00658285290907235
0.8,0.006751823914265444,0.005688823676659992
0.9,0.003871854823575549,0.0039493874171168545
1.0,0.0013014625179097274,0.0004288945634606646
