p,mean,std
0.0,0.0005568258785850389,0.00017699606455939872
0.1,0.00046995610751198423,0.0001551277258451944
0.2,0.0003823006239444047,0.00014049810882134012
0.30000000000000004,0.00031127538183921527,0.00012013382128337265
0.4,0.000226940223699934,0.00010688928997687273
0.5,0.00017898012638730454,8.208203088173547e-05
0.6000000000000001,0.00012216480875398036,6.765428138251436e-05
0.7000000000000001,8.072969325868939e-05,4.8305567892376285e-05
0.8,4.669441906725252e-05,3.290938961554404e-05
0.9,2.0334570376471716e-05,1.624159007058793e-05
1.0,5.432248848856944e-06,1.5956748040300984e-06
