p,mean,std
0.0,0.0694445883915427,0.022167713020710085
0.1,0.06882488072606359,0.02201794563138768
0.2,0.06146056621764413,0.021614605926951167
0.30000000000000004,0.05486245100357405,0.021362281122706946
0.4,0.04891096168037857,0.021711313968517186
0.5,0.04314177647416603,0.02130460602849815
0.6000000000000001,0.033741166758250514,0.020377548289776885
0.7000000000000001,0.029525124925976094,0.019540671595616406
0.8,0.022091344094762426,0.01730521689618565
0.9,0.012500942878042534,0.011744492447970203
1.0,0.0044696703136097886,0.0013163024021774622
