,p,mean,std,unvax_aerosol
0,0.7,0.012925921877196586,0.008092626887901539,5.616572534282039e-05
1,0.75,0.011073326491898858,0.007467872819407342,5.261874453851216e-05
2,0.8,0.009150640107812223,0.006918288001922517,4.718743018191518e-05
3,0.85,0.008207470704201561,0.00632673925573942,4.563562608003033e-05
4,0.9,0.006331201786379006,0.0052894121964063515,4.0204311723433345e-05
5,0.95,0.0042725762858533255,0.0037397754529684218,3.166938916306666e-05
6,1.0,0.002452905345731388,0.0006228109963854675,2.269109400216144e-05
