p,mean,std
0.0,0.008024160265174104,0.0025656183390385468
0.1,0.00756584731469237,0.002505754883654178
0.2,0.006615475643190434,0.0026677927662706502
0.30000000000000004,0.006041399731224407,0.002459224177807033
0.4,0.005499923363773757,0.0025479900518803945
0.5,0.004873789691183337,0.002451837766742346
0.6000000000000001,0.004000402313689104,0.0024387592568962564
0.7000000000000001,0.003158551985852584,0.0022802147441136887
0.8,0.002352860668753122,0.0019244059589738737
0.9,0.0012889767279750434,0.001292906291099615
1.0,0.0004907525037054154,0.00015101249550000914
