p,mean,std
0.0,0.0006868715668400341,0.00021834693094335223
0.1,0.00061991172555735,0.0001953124038225597
0.2,0.0005071723361654989,0.00018057983527202518
0.30000000000000004,0.0004172155371797017,0.00015661062153626232
0.4,0.00032198559248540183,0.00014730958302445343
0.5,0.00025741510843573407,0.00011974741368862099
0.6000000000000001,0.00017306837191890078,9.85350411439636e-05
0.7000000000000001,0.00011592867730047945,7.686075551916744e-05
0.8,7.278419438157975e-05,5.4897474065981295e-05
0.9,2.845370681158932e-05,2.7926917526879225e-05
1.0,6.6700634321505425e-06,1.998187277675561e-06
