p,mean,std
0.0,0.0005715790085708314,0.00017416927988341162
0.1,0.0004831985199655334,0.0001588509552697031
0.2,0.0004063737151440252,0.0001458150122020125
0.30000000000000004,0.0003218793026221417,0.0001343043691755511
0.4,0.00025963091051772405,0.00011054260558158271
0.5,0.00019346845960913677,0.00010076784326273051
0.6000000000000001,0.00013905370672914207,7.873481716024624e-05
0.7000000000000001,9.810714512862444e-05,6.396153099438891e-05
0.8,5.76643608073234e-05,4.4940208183069186e-05
0.9,2.261894721681189e-05,2.2402116110477705e-05
1.0,5.392147222337476e-06,1.6013057591805115e-06
