p,mean,std
0.0,0.007723982293467012,0.0023951272569160305
0.1,0.007217106373940515,0.0024664994754075753
0.2,0.006279008409104754,0.0025101018194612916
0.30000000000000004,0.005864385643521718,0.0023442758171717095
0.4,0.004782971260979814,0.0023359059077133295
0.5,0.004203414550389283,0.002116888663935082
0.6000000000000001,0.0035279906325739467,0.0019136525327421699
0.7000000000000001,0.002631750805136051,0.0017974818737986403
0.8,0.002047842897931887,0.001444405026719247
0.9,0.001181286304456894,0.0009892021355472546
1.0,0.0005019441011684172,0.000148821648667573
