p,mean,std
0.0,0.0062683313870000165,0.0020028656513511604
0.1,0.005530396527240773,0.001978797511472117
0.2,0.0051467351664638734,0.0018996337567073495
0.30000000000000004,0.004392027945475468,0.0019145579133414408
0.4,0.0038746933981899678,0.0018489181800099234
0.5,0.0032406673217615883,0.001682481222715505
0.6000000000000001,0.002664415651246298,0.0015847513608405065
0.7000000000000001,0.0021669550947606697,0.0013976467866620543
0.8,0.0013710287191454928,0.001020079523948219
0.9,0.000998014962660183,0.000827379845168332
1.0,0.00039215744406175505,0.00011937485881718276
