,p,mean,std,unvax_aerosol
0,0.7,0.1582246021385763,0.07649885893164857,0.005245611539972894
1,0.75,0.13735614150604136,0.0715515242794184,0.0049627528628194495
2,0.8,0.12064701866103192,0.06788950238210929,0.004632751072807098
3,0.85,0.10103905330024907,0.059323833692646356,0.0042933206602229655
4,0.9,0.07981886161322835,0.04932685893283994,0.003831318154205673
5,0.95,0.056983914177090124,0.0360153793231881,0.003124171461322062
6,1.0,0.03806545838657084,0.002034403876547814,0.0023981675232948893
