p,mean,std
0.0,0.05786485009597164,0.017987397567662294
0.1,0.0552684341022154,0.017184606198507098
0.2,0.04740663035009629,0.017600942330617132
0.30000000000000004,0.04484837072514471,0.016680078701135536
0.4,0.04003317362318832,0.01705506465524419
0.5,0.03349076046182541,0.016725886572530456
0.6000000000000001,0.028484276733410648,0.01649520906784685
0.7000000000000001,0.02454220046414436,0.016116891710864188
0.8,0.01760191326814118,0.013497717687724464
0.9,0.010007767164263336,0.009450068357471714
1.0,0.0036467868472971777,0.001030055458609474
