,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.019467542257298187,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.024658049389903458,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.013050542187757364,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.035826091864923804,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.03042623155364288,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.004138830637157809,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.029506383985366424,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.019725061410576394,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.016422372617053593,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.020594757440722145,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.0183807429094206,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.021780688447539,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.013028373912218116,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.025153098868782142,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.010349483544990212,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.0036353746581313517,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.024819419530531683,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.01957783947809355,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.013702708668380414,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.02903130693422251,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.00245008605901631,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.008386219600537204,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.023608250491402583,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.01644367335605257,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.0001507897919430512,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.015593389892429643,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.03149445969375397,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.0007750665551937708,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.00748570791124592,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.03396448408637931,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.001959395770613215,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.015152834421305772,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.006423250527315849,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.00702974212847407,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.04552577226683496,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.009668269677736596,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.019044316055905508,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.014377914011509563,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.015885841696820058,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.013130537910694073,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.016367548397526077,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.02496084191419945,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.009474553145686126,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.0171044173380841,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.0189148391244498,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.013630829441267589,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.021701021727664194,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.01209024688532534,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.008246765787481958,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.019363425966204995,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.1,0.009043422771303544,32,294.0,0,1.0,0.12244897959183673,0.1
51,36,0.1,0.009382886779301436,32,294.0,0,1.0,0.12244897959183673,0.1
52,36,0.1,0.010947197365437866,32,294.0,0,1.0,0.12244897959183673,0.1
53,36,0.1,0.025672705287552416,32,294.0,0,1.0,0.12244897959183673,0.1
54,36,0.1,0.018429846515786996,32,294.0,0,1.0,0.12244897959183673,0.1
55,36,0.1,0.01563337354337005,32,294.0,0,1.0,0.12244897959183673,0.1
56,36,0.1,0.012269017106332741,32,294.0,0,1.0,0.12244897959183673,0.1
57,36,0.1,0.004457069838186112,32,294.0,0,1.0,0.12244897959183673,0.1
58,36,0.1,0.015386385250715423,32,294.0,0,1.0,0.12244897959183673,0.1
59,36,0.1,0.00047322984034503524,32,294.0,0,1.0,0.12244897959183673,0.1
60,36,0.1,0.006611560726519694,32,294.0,0,1.0,0.12244897959183673,0.1
61,36,0.1,0.006159667204272967,32,294.0,0,1.0,0.12244897959183673,0.1
62,36,0.1,0.013074184923756227,32,294.0,0,1.0,0.12244897959183673,0.1
63,36,0.1,0.009767515129114751,32,294.0,0,1.0,0.12244897959183673,0.1
64,36,0.1,0.0046052939244810576,32,294.0,0,1.0,0.12244897959183673,0.1
65,36,0.1,0.010519502236725015,32,294.0,0,1.0,0.12244897959183673,0.1
66,36,0.1,0.003834418779383203,32,294.0,0,1.0,0.12244897959183673,0.1
67,36,0.1,0.04671312624032223,32,294.0,0,1.0,0.12244897959183673,0.1
68,36,0.1,0.007780502906282849,32,294.0,0,1.0,0.12244897959183673,0.1
69,36,0.1,0.01515780835695979,32,294.0,0,1.0,0.12244897959183673,0.1
70,36,0.1,0.02581091758425616,32,294.0,0,1.0,0.12244897959183673,0.1
71,36,0.1,0.02464342857701718,32,294.0,0,1.0,0.12244897959183673,0.1
72,36,0.1,0.006011336473520867,32,294.0,0,1.0,0.12244897959183673,0.1
73,36,0.1,0.014634315837602163,32,294.0,0,1.0,0.12244897959183673,0.1
74,36,0.1,0.020538646126146226,32,294.0,0,1.0,0.12244897959183673,0.1
75,36,0.1,0.006966098405998267,32,294.0,0,1.0,0.12244897959183673,0.1
76,36,0.1,0.014568129105510641,32,294.0,0,1.0,0.12244897959183673,0.1
77,36,0.1,0.02191106942989371,32,294.0,0,1.0,0.12244897959183673,0.1
78,36,0.1,0.005825578367912504,32,294.0,0,1.0,0.12244897959183673,0.1
79,36,0.1,0.013529421967334532,32,294.0,0,1.0,0.12244897959183673,0.1
80,36,0.1,0.009380477032313261,32,294.0,0,1.0,0.12244897959183673,0.1
81,36,0.1,0.0232828632393699,32,294.0,0,1.0,0.12244897959183673,0.1
82,36,0.1,0.013761303846891587,32,294.0,0,1.0,0.12244897959183673,0.1
83,36,0.1,0.015331562542327232,32,294.0,0,1.0,0.12244897959183673,0.1
84,36,0.1,0.0009694075250129552,32,294.0,0,1.0,0.12244897959183673,0.1
85,36,0.1,0.007716052748465041,32,294.0,0,1.0,0.12244897959183673,0.1
86,36,0.1,0.006363702159943863,32,294.0,0,1.0,0.12244897959183673,0.1
87,36,0.1,0.005749288000974073,32,294.0,1,1.0,0.12244897959183673,0.1
88,36,0.1,0.004436547118344736,32,294.0,0,1.0,0.12244897959183673,0.1
89,36,0.1,0.020569549808853282,32,294.0,0,1.0,0.12244897959183673,0.1
90,36,0.1,0.025642563925855844,32,294.0,0,1.0,0.12244897959183673,0.1
91,36,0.1,0.0013906010976090233,32,294.0,0,1.0,0.12244897959183673,0.1
92,36,0.1,0.025994065807054517,32,294.0,0,1.0,0.12244897959183673,0.1
93,36,0.1,0.014376996995358937,32,294.0,0,1.0,0.12244897959183673,0.1
94,36,0.1,0.024474610137616704,32,294.0,0,1.0,0.12244897959183673,0.1
