,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.05573175927255947,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.03682667597649891,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.04197326848577132,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.0774345062929882,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.047972609008752554,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.046801461055506643,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.0402640056829765,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.025346325248790214,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.023485458174125395,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.030353430546975813,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.03368419651934207,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.03751636679143022,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.04355199315002134,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.0225961152862596,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.005437493778901126,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.003985912977912731,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.0030193306892206673,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.021331149321977882,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.03833964085305297,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.06086957193226916,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.035065932528845045,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.0464023673551911,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.061681537004067755,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.007791400555821282,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.031547827861783784,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.05041694758867321,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.04167987409604046,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.023622367399194655,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.052707817887670316,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.08544704142468496,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.06746319110117704,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.019891295737294534,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.05015883409533928,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.008070152433805378,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.013595024279501322,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.056911006198415603,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.08707162746778485,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.04121837223080771,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.05006792424414119,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.01755909500207009,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.04032543310667347,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.06965339117851921,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.04633873448067205,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.06752624435078391,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.06293559113279856,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.049308701604898086,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.06497284628685618,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.06018126103733479,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.03353273181411964,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.03628722317137989,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.0,0.032489256700116265,36,294.0,0,1.0,0.12244897959183673,0.0
51,36,0.0,0.05285857335174349,36,294.0,0,1.0,0.12244897959183673,0.0
52,36,0.0,0.002096942304582683,36,294.0,0,1.0,0.12244897959183673,0.0
53,36,0.0,0.09288964697794722,36,294.0,0,1.0,0.12244897959183673,0.0
54,36,0.0,0.03467445996710061,36,294.0,0,1.0,0.12244897959183673,0.0
55,36,0.0,0.05144677945389409,36,294.0,0,1.0,0.12244897959183673,0.0
56,36,0.0,0.02104666517570508,36,294.0,0,1.0,0.12244897959183673,0.0
57,36,0.0,0.0008134073087615601,36,294.0,0,1.0,0.12244897959183673,0.0
