,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
0,36,0.0,0.08915093234608984,36,294.0,0,1.0
1,36,0.0,0.08752471912313331,36,294.0,0,1.0
2,36,0.0,0.07237784866050356,36,294.0,0,1.0
3,36,0.0,0.026240150319955968,36,294.0,0,1.0
4,36,0.0,0.006125190678220704,36,294.0,0,1.0
5,36,0.0,0.04856268594677193,36,294.0,0,1.0
6,36,0.0,0.004503883900570216,36,294.0,0,1.0
7,36,0.0,0.001065277423375699,36,294.0,0,1.0
8,36,0.0,0.06252614028964776,36,294.0,0,1.0
9,36,0.0,0.02126171758010109,36,294.0,0,1.0
10,36,0.0,0.061147432786485045,36,294.0,0,1.0
11,36,0.0,0.07972035244226594,36,294.0,0,1.0
12,36,0.0,0.0625516774803252,36,294.0,0,1.0
13,36,0.0,0.0890868254730588,36,294.0,0,1.0
14,36,0.0,0.07796265389116652,36,294.0,0,1.0
15,36,0.0,0.02636933836036115,36,294.0,0,1.0
16,36,0.0,0.12525272578827895,36,294.0,0,1.0
17,36,0.0,0.018032937656343062,36,294.0,0,1.0
18,36,0.0,0.09676813960909603,36,294.0,0,1.0
19,36,0.0,0.07614083404529337,36,294.0,0,1.0
20,36,0.0,0.06622756200097013,36,294.0,0,1.0
21,36,0.0,0.06050653875394785,36,294.0,0,1.0
22,36,0.0,0.0042680008440348915,36,294.0,0,1.0
23,36,0.0,0.13211112951976878,36,294.0,0,1.0
24,36,0.0,0.03694102685887091,36,294.0,0,1.0
25,36,0.0,0.05036559623024428,36,294.0,0,1.0
26,36,0.0,0.06730357483930449,36,294.0,0,1.0
27,36,0.0,0.049031200038704426,36,294.0,0,1.0
28,36,0.0,0.012213967961249184,36,294.0,0,1.0
29,36,0.0,0.055732146112913994,36,294.0,0,1.0
30,36,0.0,0.08133128815174206,36,294.0,0,1.0
31,36,0.0,0.004253733646225832,36,294.0,0,1.0
32,36,0.0,0.07067360875716133,36,294.0,0,1.0
33,36,0.0,0.05070187843999496,36,294.0,0,1.0
34,36,0.0,0.04500915932221328,36,294.0,0,1.0
35,36,0.0,0.09454499395344518,36,294.0,0,1.0
36,36,0.0,0.05358451448082746,36,294.0,0,1.0
37,36,0.0,0.07092556863594857,36,294.0,0,1.0
38,36,0.0,0.06059998907267328,36,294.0,0,1.0
39,36,0.0,0.0,36,294.0,0,1.0
40,36,0.0,0.007366840138267494,36,294.0,0,1.0
41,36,0.0,0.1064754162040793,36,294.0,0,1.0
42,36,0.0,0.04922759472623217,36,294.0,0,1.0
43,36,0.0,0.0836777569647672,36,294.0,0,1.0
44,36,0.0,0.03216040128345832,36,294.0,0,1.0
45,36,0.0,0.06813512251736897,36,294.0,0,1.0
46,36,0.0,0.08594278289936508,36,294.0,0,1.0
47,36,0.0,0.03942904930753921,36,294.0,0,1.0
48,36,0.0,0.05510516856355596,36,294.0,0,1.0
49,36,0.0,0.05819369471341207,36,294.0,0,1.0
50,36,0.0,0.041777983798397256,36,294.0,0,1.0
51,36,0.0,0.09673435671609676,36,294.0,0,1.0
52,36,0.0,0.0010500005023301728,36,294.0,0,1.0
53,36,0.0,0.0321508317754684,36,294.0,0,1.0
54,36,0.0,0.05435018893957644,36,294.0,0,1.0
55,36,0.0,0.033704002245598,36,294.0,0,1.0
56,36,0.0,0.015092869004248777,36,294.0,0,1.0
57,36,0.0,0.07402549775176959,36,294.0,0,1.0
58,36,0.0,0.03202579842327813,36,294.0,0,1.0
59,36,0.0,0.05650595473098907,36,294.0,0,1.0
60,36,0.0,0.10435665285666629,36,294.0,0,1.0
61,36,0.0,0.021297518223248657,36,294.0,0,1.0
62,36,0.0,0.01567765283452749,36,294.0,0,1.0
63,36,0.0,0.08369994473192921,36,294.0,0,1.0
64,36,0.0,0.05246678551440598,36,294.0,0,1.0
65,36,0.0,0.0945915362067693,36,294.0,0,1.0
66,36,0.0,0.03669344179737011,36,294.0,0,1.0
67,36,0.0,0.0,36,294.0,0,1.0
68,36,0.0,0.06122018645763316,36,294.0,0,1.0
69,36,0.0,0.06355461373456339,36,294.0,0,1.0
70,36,0.0,0.050526683896888525,36,294.0,0,1.0
71,36,0.0,0.015079737127061676,36,294.0,0,1.0
72,36,0.0,0.047352820503723025,36,294.0,0,1.0
73,36,0.0,0.08176730571759305,36,294.0,0,1.0
74,36,0.0,0.03883863452601688,36,294.0,0,1.0
75,36,0.0,0.004359884973885841,36,294.0,0,1.0
76,36,0.0,0.030609607836372676,36,294.0,0,1.0
77,36,0.0,0.07278610012599418,36,294.0,0,1.0
78,36,0.0,0.007652761288810095,36,294.0,0,1.0
79,36,0.0,0.015698147943022933,36,294.0,0,1.0
80,36,0.0,0.024800426685989696,36,294.0,0,1.0
81,36,0.0,0.08865274790634659,36,294.0,0,1.0
82,36,0.0,0.04031200597234397,36,294.0,0,1.0
83,36,0.0,0.01656972275944668,36,294.0,0,1.0
84,36,0.0,0.07752684525242626,36,294.0,0,1.0
85,36,0.0,0.008809715369798243,36,294.0,0,1.0
86,36,0.0,0.051575924349597124,36,294.0,0,1.0
87,36,0.0,0.06955017014072584,36,294.0,0,1.0
88,36,0.0,0.10895270222752007,36,294.0,0,1.0
89,36,0.0,0.06193279177772437,36,294.0,0,1.0
90,36,0.0,0.09096029266738959,36,294.0,0,1.0
91,36,0.0,0.11567223057804388,36,294.0,0,1.0
92,36,0.0,0.054214104068914026,36,294.0,0,1.0
93,36,0.0,0.007832153769053773,36,294.0,0,1.0
94,36,0.0,0.04652397616707149,36,294.0,0,1.0
95,36,0.0,0.08283446095118696,36,294.0,0,1.0
96,36,0.0,0.04520041901221927,36,294.0,0,1.0
97,36,0.0,0.0471424656213596,36,294.0,0,1.0
98,36,0.0,0.03207601910533542,36,294.0,0,1.0
99,36,0.0,0.07976072927655231,36,294.0,0,1.0
100,36,0.1,0.05509742130540746,32,294.0,0,1.0
101,36,0.1,0.010562104483089751,32,294.0,0,1.0
102,36,0.1,0.034056197254982906,32,294.0,0,1.0
103,36,0.1,0.13141443553794838,32,294.0,0,1.0
104,36,0.1,0.001508471802337208,32,294.0,0,1.0
105,36,0.1,0.043123089921253244,32,294.0,0,1.0
106,36,0.1,0.047534489837214366,32,294.0,0,1.0
107,36,0.1,0.03513600036393669,32,294.0,0,1.0
108,36,0.1,0.054834950916839514,32,294.0,0,1.0
109,36,0.1,0.043692788164110374,32,294.0,0,1.0
110,36,0.1,0.04202541351377484,32,294.0,0,1.0
111,36,0.1,0.036962481349285925,32,294.0,0,1.0
112,36,0.1,0.023326252998765673,32,294.0,0,1.0
113,36,0.1,0.052766817206334415,32,294.0,0,1.0
114,36,0.1,0.0748730462987571,32,294.0,0,1.0
115,36,0.1,0.05931972915236072,32,294.0,0,1.0
116,36,0.1,0.04147184870843934,32,294.0,0,1.0
117,36,0.1,0.1315687813300347,32,294.0,0,1.0
118,36,0.1,0.10467673865190119,32,294.0,0,1.0
119,36,0.1,0.04305003138865682,32,294.0,0,1.0
