,p,mean,std,unvax_aerosol,vax_aerosol
0,0.7,0.11594790264492215,0.05873919632268483,0.0031985781184635602,0.0009115947637621148
1,0.75,0.0942273343741287,0.05600958019308816,0.0028531847224129744,0.0008131576458876978
2,0.8,0.08478855139788333,0.05161886160994984,0.002765372842061131,0.0007881312599874225
3,0.85,0.07096953531958831,0.04843980059610604,0.0024843748249352305,0.0007080468251065408
4,0.9,0.05384888922369681,0.037898043754778836,0.002203376807809331,0.0006279623902256594
5,0.95,0.041031021474314325,0.030102739223055414,0.0018579834117587457,0.0005295252723512426
6,1.0,0.025153248903213892,0.0023624705413338447,0.0013662368817884212,0.0003893775113097001
