,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart,Percent Occupancy,Percent Vaccinated
0,36,0.0,0.0019930594804320467,36,294.0,0,1.0,0.12244897959183673,0.0
1,36,0.0,0.07257697146427045,36,294.0,0,1.0,0.12244897959183673,0.0
2,36,0.0,0.010098235046076875,36,294.0,0,1.0,0.12244897959183673,0.0
3,36,0.0,0.010294022488467558,36,294.0,0,1.0,0.12244897959183673,0.0
4,36,0.0,0.03239412876479164,36,294.0,0,1.0,0.12244897959183673,0.0
5,36,0.0,0.04232482026091999,36,294.0,0,1.0,0.12244897959183673,0.0
6,36,0.0,0.029284465567089968,36,294.0,0,1.0,0.12244897959183673,0.0
7,36,0.0,0.02024826892306797,36,294.0,0,1.0,0.12244897959183673,0.0
8,36,0.0,0.032269275609825954,36,294.0,0,1.0,0.12244897959183673,0.0
9,36,0.0,0.02967159135300168,36,294.0,0,1.0,0.12244897959183673,0.0
10,36,0.0,0.03500867678709596,36,294.0,0,1.0,0.12244897959183673,0.0
11,36,0.0,0.03348099702388607,36,294.0,0,1.0,0.12244897959183673,0.0
12,36,0.0,0.02634669008594015,36,294.0,0,1.0,0.12244897959183673,0.0
13,36,0.0,0.006729477650452065,36,294.0,0,1.0,0.12244897959183673,0.0
14,36,0.0,0.045880447349584186,36,294.0,0,1.0,0.12244897959183673,0.0
15,36,0.0,0.018859745128155136,36,294.0,0,1.0,0.12244897959183673,0.0
16,36,0.0,0.022225495130392847,36,294.0,0,1.0,0.12244897959183673,0.0
17,36,0.0,0.026026976913582467,36,294.0,0,1.0,0.12244897959183673,0.0
18,36,0.0,0.01271355708564259,36,294.0,0,1.0,0.12244897959183673,0.0
19,36,0.0,0.006692390414431593,36,294.0,0,1.0,0.12244897959183673,0.0
20,36,0.0,0.002523497472212033,36,294.0,0,1.0,0.12244897959183673,0.0
21,36,0.0,0.04512203624685218,36,294.0,0,1.0,0.12244897959183673,0.0
22,36,0.0,0.01954957920845235,36,294.0,0,1.0,0.12244897959183673,0.0
23,36,0.0,0.009572175943255878,36,294.0,0,1.0,0.12244897959183673,0.0
24,36,0.0,0.001542921277569942,36,294.0,0,1.0,0.12244897959183673,0.0
25,36,0.0,0.013424277135267726,36,294.0,0,1.0,0.12244897959183673,0.0
26,36,0.0,0.025293781576389618,36,294.0,0,1.0,0.12244897959183673,0.0
27,36,0.0,0.06498479744147334,36,294.0,0,1.0,0.12244897959183673,0.0
28,36,0.0,0.029424930074622657,36,294.0,0,1.0,0.12244897959183673,0.0
29,36,0.0,0.01844531433007579,36,294.0,0,1.0,0.12244897959183673,0.0
30,36,0.0,0.011961079145027198,36,294.0,0,1.0,0.12244897959183673,0.0
31,36,0.0,0.043345690360376166,36,294.0,0,1.0,0.12244897959183673,0.0
32,36,0.0,0.01375692436525977,36,294.0,0,1.0,0.12244897959183673,0.0
33,36,0.0,0.027191950401827203,36,294.0,0,1.0,0.12244897959183673,0.0
34,36,0.0,0.014704860034146172,36,294.0,0,1.0,0.12244897959183673,0.0
35,36,0.0,0.022982999142721283,36,294.0,0,1.0,0.12244897959183673,0.0
36,36,0.0,0.005120798682637928,36,294.0,0,1.0,0.12244897959183673,0.0
37,36,0.0,0.011238862429254537,36,294.0,0,1.0,0.12244897959183673,0.0
38,36,0.0,0.026578639230925294,36,294.0,0,1.0,0.12244897959183673,0.0
39,36,0.0,0.0048483479356847825,36,294.0,0,1.0,0.12244897959183673,0.0
40,36,0.0,0.03033850571381147,36,294.0,0,1.0,0.12244897959183673,0.0
41,36,0.0,0.03146117294390205,36,294.0,0,1.0,0.12244897959183673,0.0
42,36,0.0,0.015840694232301056,36,294.0,0,1.0,0.12244897959183673,0.0
43,36,0.0,0.018501412693013197,36,294.0,0,1.0,0.12244897959183673,0.0
44,36,0.0,0.018166948070385658,36,294.0,0,1.0,0.12244897959183673,0.0
45,36,0.0,0.01734139550050351,36,294.0,0,1.0,0.12244897959183673,0.0
46,36,0.0,0.02910446345459894,36,294.0,0,1.0,0.12244897959183673,0.0
47,36,0.0,0.006038497542847354,36,294.0,0,1.0,0.12244897959183673,0.0
48,36,0.0,0.0070576042472558775,36,294.0,0,1.0,0.12244897959183673,0.0
49,36,0.0,0.0,36,294.0,0,1.0,0.12244897959183673,0.0
50,36,0.0,0.0018649289761226706,36,294.0,0,1.0,0.12244897959183673,0.0
51,36,0.0,0.010562257504858397,36,294.0,0,1.0,0.12244897959183673,0.0
52,36,0.0,0.003244209381049301,36,294.0,0,1.0,0.12244897959183673,0.0
53,36,0.0,0.03629819040569471,36,294.0,0,1.0,0.12244897959183673,0.0
54,36,0.0,0.028541553824992905,36,294.0,0,1.0,0.12244897959183673,0.0
55,36,0.0,0.018927697808573618,36,294.0,0,1.0,0.12244897959183673,0.0
56,36,0.0,0.011559605451748167,36,294.0,0,1.0,0.12244897959183673,0.0
57,36,0.0,0.020476616855127028,36,294.0,0,1.0,0.12244897959183673,0.0
58,36,0.0,0.02755274656192841,36,294.0,0,1.0,0.12244897959183673,0.0
59,36,0.0,0.034705623826097765,36,294.0,0,1.0,0.12244897959183673,0.0
60,36,0.0,0.012704025725129409,36,294.0,0,1.0,0.12244897959183673,0.0
61,36,0.0,0.03188005385260262,36,294.0,0,1.0,0.12244897959183673,0.0
62,36,0.0,0.045132834834662794,36,294.0,0,1.0,0.12244897959183673,0.0
63,36,0.0,0.02190342507725551,36,294.0,0,1.0,0.12244897959183673,0.0
64,36,0.0,0.03356275230814598,36,294.0,0,1.0,0.12244897959183673,0.0
65,36,0.0,0.023075728667920403,36,294.0,0,1.0,0.12244897959183673,0.0
66,36,0.0,0.019455316138805245,36,294.0,0,1.0,0.12244897959183673,0.0
